mz,scan,intensity
568.283941374,546,179
569.288651838,546,188
569.30754587,546,228
569.787559396,546,102
565.794883102,547,215
565.825020798,547,124
566.303564227,547,284
567.306523307,547,235
567.800787917,547,149
567.842300847,547,156
568.325471962,547,163
569.292430619,547,168
565.30902358,548,176
565.802417451,548,432
566.921825081,548,134
567.306523307,548,174
567.329156677,548,165
567.819657242,548,240
568.287716819,548,130
569.281094313,548,174
569.299988219,548,102
569.772437775,548,224
565.290196016,549,116
565.77604745,549,133
566.314870849,549,190
566.804932846,549,153
567.302751122,549,160
568.839066412,549,126
569.296209413,549,401
569.311324714,549,439
569.75353603,549,159
569.795120282,549,132
569.817803241,549,176
565.806184644,550,147
566.307333089,550,203
567.302751122,550,325
567.804561757,550,194
567.842300847,550,115
569.299988219,550,135
569.749755719,550,125
565.79865027,551,356
565.825020798,551,290
566.322408659,551,202
567.302751122,551,210
567.804561757,551,218
569.299988219,551,332
569.810242205,551,416
567.306523307,552,309
567.808335609,552,436
568.302818726,552,141
569.296209413,552,411
569.806461705,552,103
565.802417451,553,339
565.828788067,553,121
566.816244471,553,105
567.306523307,553,354
567.808335609,553,490
569.299988219,553,251
569.791339833,553,110
565.80995185,554,194
566.571184533,554,104
567.302751122,554,264
567.785692682,554,114
567.808335609,554,173
568.314145287,554,167
569.296209413,554,202
569.802681219,554,250
565.290196016,555,134
565.31278913,555,326
565.802417451,555,341
566.318639747,555,110
566.797391825,555,151
567.306523307,555,193
567.808335609,555,175
569.296209413,555,252
569.772437775,555,127
565.30902358,556,255
565.335382695,556,186
565.794883102,556,161
565.806184644,556,181
565.825020798,556,227
566.299795379,556,317
566.322408659,556,152
566.348791389,556,103
567.280118278,556,116
567.302751122,556,127
567.627204833,556,104
567.800787917,556,193
567.82720506,556,117
568.325471962,556,150
569.303767038,556,140
569.798900744,556,104
565.31278913,557,487
565.320320268,557,523
565.80995185,557,300
565.828788067,557,194
566.292257719,557,113
566.318639747,557,197
566.635272016,557,118
567.29897895,557,126
567.314067713,557,125
567.804561757,557,205
568.771077357,557,101
569.292430619,557,181
569.787559396,557,116
569.795120282,557,120
565.278899629,558,114
565.31278913,558,699
565.342913983,558,102
565.80995185,558,688
566.311101962,558,325
567.302751122,558,252
569.75353603,558,127
565.256307193,559,109
565.31278913,559,1550
565.813719068,559,868
566.292257719,559,141
566.318639747,559,247
567.29897895,559,126
567.800787917,559,108
568.257513608,559,142
569.009056826,559,154
569.273536838,559,108
569.281094313,559,123
565.260072568,560,107
565.31278913,560,2027
565.757212111,560,100
565.80995185,560,1066
566.311101962,560,487
568.333023141,560,100
565.31278913,561,2428
565.817486299,561,1075
566.318639747,561,667
566.816244471,561,143
567.314067713,561,137
569.795120282,561,113
565.31278913,562,2184
565.813719068,562,1281
566.314870849,562,869
566.341253403,562,100
566.820015038,562,139
567.306523307,562,144
565.260072568,563,106
565.31278913,563,4218
565.813719068,563,1971
566.311101962,563,462
566.329946519,563,390
566.363867511,563,153
566.778539493,563,100
566.812473917,563,153
567.306523307,563,103
567.317839936,563,113
567.325384418,563,111
565.31278913,564,3324
565.550044079,564,142
565.817486299,564,1579
566.322408659,564,480
566.752146755,564,104
566.808703375,564,372
566.827556209,564,154
567.302751122,564,126
567.314067713,564,129
569.768657401,564,125
565.31278913,565,3132
565.813719068,565,1538
565.832555347,565,671
566.318639747,565,719
566.341253403,565,191
566.812473917,565,101
567.310295504,565,244
567.33292895,565,104
567.793240274,565,130
569.30754587,565,100
565.31278913,566,3657
565.486017998,566,130
565.64044001,566,122
565.817486299,566,1906
565.968185814,566,116
566.314870849,566,672
566.820015038,566,218
567.310295504,566,110
568.744638266,566,112
565.31278913,567,3657
565.369273889,567,115
565.553810432,567,115
565.813719068,567,1874
566.311101962,567,552
566.522178904,567,117
566.812473917,567,264
567.781918905,567,101
565.30902358,568,2698
565.813719068,568,1188
566.262107583,568,105
566.314870849,568,565
566.816244471,568,194
567.272574097,568,105
565.30902358,569,2024
565.339148333,569,408
565.779814556,569,152
565.80995185,569,1272
566.032239184,569,122
566.311101962,569,601
566.333715468,569,209
566.820015038,569,160
567.223538143,569,143
568.29904323,569,115
568.684208367,569,104
565.30902358,570,1726
565.629140123,570,194
565.813719068,570,868
566.299795379,570,182
566.314870849,570,236
566.333715468,570,227
566.804932846,570,156
567.314067713,570,217
565.31278913,571,1602
565.817486299,571,804
565.843857266,571,201
566.311101962,571,540
568.835289136,571,146
565.316554693,572,1231
565.813719068,572,1250
565.847624597,572,168
566.314870849,572,443
566.812473917,572,137
565.316554693,573,1334
565.80995185,573,878
565.836322641,573,122
566.322408659,573,248
566.816244471,573,114
567.302751122,573,130
565.31278913,574,1190
565.813719068,574,299
565.825020798,574,450
565.840089947,574,243
566.307333089,574,129
566.322408659,574,108
567.310295504,574,168
568.317920833,574,144
569.587214197,574,113
565.31278913,575,871
565.80995185,575,537
566.326177582,575,125
566.816244471,575,108
567.314067713,575,136
565.30902358,576,675
565.813719068,576,743
566.220652455,576,124
566.311101962,576,124
565.30902358,577,790
565.331617069,577,169
565.80995185,577,287
565.949347277,577,138
565.30902358,578,346
565.806184644,578,243
565.825020798,578,181
568.653994621,578,162
569.625012482,578,151
565.30902358,579,374
565.813719068,579,352
565.31278913,580,234
565.964418081,580,125
566.311101962,580,115
565.305258042,581,348
565.779814556,581,114
565.80995185,581,127
566.265876306,581,139
566.318639747,581,111
568.283941374,581,158
565.31278913,582,157
566.013399581,582,151
565.30902358,583,251
565.821253542,583,109
568.265064335,583,112
568.29904323,583,162
565.31278913,584,142
