cluster_id,confidence,frame_id,high_mz,high_scan,low_mz,low_scan
1,1.0,30000,958.649770076,34,958.546797227,4
1,1.0,30000,959.640553286,33,959.58658657,4
1,1.0,30000,1190.75801507,15,1190.66511041,4
1,1.0,30000,993.616687539,13,993.556781683,5
1,1.0,30000,1090.62814916,16,1090.56015679,5
1,1.0,30000,1129.68612511,13,1129.59563433,5
1,1.0,30000,1130.67643754,14,1130.58058189,5
1,1.0,30000,1131.65652835,9,1131.5819413,5
1,1.0,30000,1151.64309288,13,1151.5409782,5
1,1.0,30000,1191.73646647,12,1191.67632658,5
1,1.0,30000,1303.71143703,8,1303.64853517,5
1,1.0,30000,960.646574288,21,960.587670731,5
1,1.0,30000,994.590410812,10,994.545459241,6
1,1.0,30000,1132.64237381,8,1132.59973378,6
1,1.0,30000,1149.70368813,6,1149.6553582,5
1,1.0,30000,1150.70273411,10,1150.61677762,6
1,1.0,30000,1159.64355965,8,1159.58962815,5
1,1.0,30000,1168.60274354,8,1168.57567366,5
1,1.0,30000,1169.62079826,10,1169.5937166,6
1,1.0,30000,1170.61762146,7,1170.59052826,6
1,1.0,30000,1281.71475352,8,1281.66939413,6
1,1.0,30000,1302.75091935,9,1302.67089219,6
1,1.0,30000,1487.75374399,9,1487.69265731,6
1,1.0,30000,1488.71908004,11,1488.70074796,6
1,1.0,30000,1192.72078929,8,1192.6934415,5
1,1.0,30000,1118.59354628,9,1118.54587473,7
1,1.0,30000,1152.6053429,11,1152.56770546,6
1,1.0,30000,1016.58233818,11,1016.53184287,8
1,1.0,30000,1012.52147876,12,1012.49628143,9
1,1.0,30000,1015.63323619,13,1015.57267026,11
1,1.0,30000,1137.61008965,14,1137.57803949,10
1,1.0,30000,1091.59596251,15,1091.59072993,11
1,1.0,30000,1116.54458695,16,1116.50225102,11
1,1.0,30000,1013.55988145,18,1013.45904233,13
1,1.0,30000,1130.63383453,20,1130.61253332,16
1,1.0,30000,1487.74152656,31,1487.68654871,17
1,1.0,30000,1012.52651827,19,1012.50132087,16
1,1.0,30000,945.592118741,91,945.494719441,18
1,1.0,30000,1130.61785861,24,1130.59655755,22
1,1.0,30000,944.598881256,92,944.491798587,23
1,1.0,30000,1190.71429478,27,1190.68150508,23
1,1.0,30000,1488.74963376,29,1488.70074796,23
1,1.0,30000,946.551769911,30,946.51766229,26
1,1.0,30000,950.517306739,32,950.49289311,28
1,1.0,30000,946.561515058,39,946.51766229,33
1,1.0,30000,1489.74585674,37,1489.7152928,34
1,1.0,30000,958.600734697,41,958.586024327,35
1,1.0,30000,946.585878145,72,946.51766229,43
1,1.0,30000,981.48290272,50,981.463056203,45
1,1.0,30000,921.552275306,52,921.533044265,48
1,1.0,30000,981.512672871,57,981.463056203,54
1,1.0,30000,976.522569978,60,976.482977575,56
