frame_id,points
1,23093
2,22181
3,22822
4,22820
5,22734
6,22780
7,22693
8,22499
9,22785
10,22879
11,22408
12,22714
13,22714
14,22664
15,22857
16,22436
17,22931
18,23019
19,22467
20,22474
21,22393
22,22587
23,22730
24,22510
25,22586
26,22666
27,22608
28,22764
29,22525
30,22685
31,22395
32,22880
33,22412
34,22509
35,22885
36,22490
37,22381
38,22697
39,22484
40,22597
41,22634
42,22727
43,22530
44,22490
45,22352
46,22233
47,22428
48,22530
49,22279
50,22391
51,22446
52,22442
53,22623
54,22535
55,22419
56,22551
57,22318
58,22334
59,22481
60,22424
61,22604
62,22367
63,22469
64,22554
65,22227
66,22612
67,21908
68,22278
69,22213
70,22474
71,22464
72,22425
73,22226
74,22131
75,22600
76,22360
77,22015
78,22167
79,22409
80,22324
81,22240
82,22190
83,22517
84,22036
85,21996
86,22138
87,22233
88,22688
89,22094
90,22379
91,22059
92,22167
93,22256
94,22050
95,22188
96,22271
97,22050
98,22256
99,22304
100,22249
101,22289
102,22349
103,22190
104,22240
105,22275
106,22301
107,22125
108,22288
109,21845
110,21893
111,22004
112,22003
113,22354
114,22130
115,22346
116,22348
117,22084
118,22221
119,22164
120,22229
121,22464
122,22164
123,22321
124,22313
125,22217
126,22144
127,22096
128,21977
129,22068
130,22197
131,22268
132,22343
133,22095
134,22243
135,22198
136,22005
137,22229
138,21883
139,21825
140,22148
141,22284
142,22203
143,22124
144,22037
145,22169
146,22254
147,22096
148,22195
149,22285
150,21833
151,22009
152,22018
153,21888
154,22131
155,22234
156,22176
157,22351
158,22005
159,22233
160,22000
161,22149
162,22142
163,22032
164,22099
165,21928
166,22347
167,21789
168,22058
169,21967
170,21921
171,22148
172,21917
173,21748
174,21905
175,22155
176,22023
177,22339
178,22152
179,22183
180,22184
181,22165
182,21972
183,22037
184,22224
185,22060
186,21845
187,22204
188,22137
189,22022
190,22009
191,22161
192,22122
193,22026
194,22295
195,22347
196,21955
197,21978
198,22235
199,22180
200,22207
201,22027
202,22041
203,22052
204,22297
205,22107
206,22057
207,22122
208,22063
209,21953
210,22217
211,21938
212,22011
213,22120
214,21626
215,22211
216,21934
217,21804
218,22243
219,21990
220,21895
221,21749
222,21708
223,22004
224,21729
225,22018
226,22098
227,22222
228,22122
229,22110
230,21979
231,22218
232,22146
233,21827
234,21853
235,22110
236,21951
237,22260
238,22117
239,22105
240,22192
241,22057
242,22211
243,22285
244,22022
245,22254
246,21984
247,22339
248,22051
249,22006
250,22028
251,22196
252,22197
253,22174
254,21913
255,22403
256,22100
257,22207
258,22033
259,22170
260,22405
261,22126
262,22183
263,22432
264,22125
265,21972
266,21919
267,22113
268,21963
269,22198
270,22078
271,21868
272,22127
273,22023
274,22162
275,22043
276,21966
277,22042
278,22221
279,21869
280,22167
281,22321
282,22076
283,21981
284,22256
285,22273
286,21979
287,22224
288,21998
289,22265
290,22586
291,22159
292,22203
293,22064
294,22039
295,21911
296,22385
297,22104
298,22065
299,22525
300,21915
301,21902
302,22228
303,22309
304,22303
305,22055
306,22052
307,22162
308,22088
309,22025
310,22277
311,22146
312,22187
313,22471
314,22052
315,22201
316,22388
317,22241
318,22406
319,22116
320,22340
321,22154
322,22061
323,22159
324,22469
325,22456
326,21999
327,22274
328,22346
329,22084
330,22305
331,22327
332,22178
333,22142
334,22114
335,22133
336,22228
337,22003
338,21910
339,21814
340,21972
341,22031
342,22250
343,21882
344,22188
345,21856
346,21837
347,22170
348,22038
349,21953
350,21786
351,22292
352,22135
353,22114
354,21890
355,22138
356,22113
357,22141
358,21696
359,21825
360,22122
361,21890
362,21928
363,22127
364,21860
365,21903
366,21890
367,21605
368,21819
369,21681
370,21838
371,21829
372,21931
373,21755
374,21900
375,21761
376,21745
377,21806
378,21799
379,21809
380,22194
381,21930
382,21741
383,21752
384,21998
385,21932
386,22085
387,21918
388,21816
389,21660
390,21969
391,21560
392,21805
393,21610
394,21847
395,21638
396,21725
397,21491
398,21586
399,21782
400,21710
401,21791
402,21923
403,21838
404,21733
405,21879
406,21743
407,21542
408,21598
409,21961
410,21653
411,21610
412,21672
413,21746
414,21399
415,21643
416,21566
417,21793
418,21457
419,21511
420,21857
421,21895
422,21945
423,21604
424,21628
425,21666
426,21772
427,21833
428,21527
429,22122
430,21772
431,21618
432,21311
433,21643
434,21740
435,21920
436,21706
437,21467
438,21694
439,21706
440,21639
441,21570
442,21748
443,21687
444,21560
445,21731
446,21811
447,21691
448,21529
449,21771
450,21786
451,21664
452,21851
453,21987
454,21666
455,21805
456,21725
457,21496
458,21776
459,21932
460,21309
461,21448
462,21708
463,21665
464,21360
465,21378
466,21658
467,21639
468,21647
469,21734
470,21473
471,21456
472,21679
473,21371
474,21762
475,21568
476,21517
477,21530
478,21812
479,21394
480,21691
481,21362
482,21139
483,21325
484,21601
485,21611
486,21607
487,21538
488,21329
489,21624
490,21529
491,21385
492,21759
493,21478
494,21457
495,21515
496,21366
497,21493
498,21349
499,21427
500,21840
501,21439
502,21456
503,21796
504,21388
505,21652
506,21546
507,21258
508,21085
509,21558
510,21044
511,21402
512,21117
513,21374
514,21326
515,21328
516,21752
517,21693
518,21396
519,21336
520,21358
521,21242
522,21620
523,21213
524,21354
525,21540
526,21448
527,21364
528,21532
529,21215
530,21361
531,21199
532,21360
533,21324
534,21503
535,21339
536,21156
537,21514
538,21466
539,21356
540,21391
541,21387
542,21096
543,21555
544,21371
545,21704
546,21289
547,21317
548,21344
549,21245
550,21356
551,21346
552,21568
553,21435
554,21590
555,21371
556,21479
557,21454
558,21458
559,21647
560,21251
561,21573
562,21571
563,21439
564,21431
565,21544
566,21468
567,21435
568,21622
569,21466
570,21434
571,21864
572,21570
573,21328
574,21583
575,21440
576,21455
577,21458
578,21564
579,21713
580,21568
581,21732
582,21555
583,21540
584,21671
585,21399
586,21403
587,21408
588,21587
589,21574
590,21556
591,21543
592,21492
593,21372
594,21737
595,21378
596,21584
597,21446
598,21564
599,21476
600,21302
601,21647
602,21595
603,21511
604,21378
605,21082
606,21705
607,21505
608,21434
609,21667
610,21491
611,21601
612,21324
613,21592
614,21860
615,21560
616,21602
617,21582
618,21480
619,21643
620,21440
621,21752
622,21819
623,21796
624,21847
625,21896
626,21983
627,22305
628,22544
629,22664
630,22937
631,22740
632,23226
633,23482
634,23739
635,24144
636,24491
637,24645
638,25557
639,25846
640,26343
641,26735
642,27595
643,28115
644,28779
645,29470
646,30301
647,31165
648,31599
649,32846
650,33307
651,34434
652,34989
653,35669
654,36495
655,36579
656,37104
657,37615
658,38023
659,38604
660,39073
661,39226
662,39611
663,39858
664,40273
665,40354
666,41081
667,41483
668,41460
669,41999
670,41549
671,41490
672,42092
673,41889
674,42129
675,41941
676,41942
677,42179
678,42099
679,41674
680,41505
681,42114
682,41741
683,41738
684,41830
685,41468
686,41024
687,41013
688,41120
689,40837
690,41006
691,40121
692,40690
693,40240
694,39721
695,39779
696,39310
697,38955
698,38885
699,38488
700,37856
701,37990
702,37559
703,37499
704,36646
705,35793
706,35588
707,34913
708,34427
709,34124
710,33494
711,32801
712,32421
713,31878
714,31135
715,30716
716,30444
717,29571
718,29436
719,28712
720,28716
721,28322
722,28268
723,27566
724,27455
725,27414
726,27008
727,27143
728,26903
729,26974
730,27034
731,27007
732,26634
733,26440
734,26171
735,26159
736,26156
737,26168
738,25729
739,25806
740,25581
741,25919
742,25670
743,25269
744,25664
745,25247
746,25116
747,24835
748,24887
749,24975
750,24584
751,24584
752,24182
753,24563
754,24171
755,23736
756,23950
757,24023
758,23783
759,23751
760,23598
761,23484
762,23847
763,23681
764,22961
765,23116
766,23330
767,22910
768,23270
769,22900
770,23063
771,22803
772,22879
773,22476
774,22721
775,22729
776,22480
777,22654
778,22685
779,22390
780,22176
781,22744
782,22337
783,22676
784,22412
785,22419
786,22018
787,22231
788,22669
789,22421
790,22514
791,22860
792,22479
793,22361
794,22403
795,22433
796,22427
797,22551
798,21905
799,22222
800,22363
801,22494
802,22805
803,22843
804,22691
805,22670
806,22303
807,22511
808,22357
809,22772
810,22842
811,22955
812,23169
813,23196
814,23563
815,22598
816,22741
817,22390
818,23307
819,23056
820,23397
821,23073
822,23493
823,23148
824,22876
825,23764
826,22927
827,23579
828,23574
829,23369
830,23512
831,23687
832,23562
833,24167
834,23697
835,23734
836,23831
837,24017
838,23834
839,23808
840,23904
841,24165
842,24015
843,24062
844,23939
845,25217
846,24916
847,23996
848,23860
849,23919
850,24593
851,24236
852,24253
853,23950
854,24023
855,24081
856,24138
857,24357
858,24233
859,24622
860,24322
861,24338
862,24826
863,24523
864,24280
865,24076
866,24685
867,23961
868,24991
869,24828
870,25226
871,24738
872,24791
873,24994
874,25206
875,25097
876,25149
877,24236
878,24401
879,24568
880,24932
881,24749
882,25207
883,25067
884,24886
885,24996
886,24973
887,25115
888,24909
889,25112
890,25176
891,25016
892,24889
893,24940
894,25012
895,27854
896,26819
897,25125
898,25186
899,25088
900,25378
901,25575
902,24993
903,25647
904,25736
905,24936
906,25795
907,25196
908,25304
909,25580
910,25328
911,25667
912,25381
913,25968
914,25357
915,25661
916,25347
917,25959
918,25499
919,26390
920,25674
921,25771
922,26038
923,25975
924,26007
925,25745
926,25728
927,26285
928,26010
929,25905
930,25494
931,25580
932,25730
933,25862
934,26275
935,25975
936,25511
937,26014
938,25364
939,25831
940,25898
941,26033
942,25879
943,25919
944,26292
945,26093
946,26080
947,25680
948,25649
949,25811
950,25764
951,26644
952,26926
953,27225
954,26584
955,25722
956,31716
957,27440
958,26165
959,26316
960,26658
961,25847
962,26463
963,26200
964,26261
965,25994
966,25535
967,26038
968,25947
969,25887
970,25758
971,26048
972,25593
973,26016
974,26232
975,25863
976,25643
977,25743
978,26237
979,26176
980,25217
981,25635
982,25568
983,26138
984,26109
985,25465
986,27018
987,26043
988,26063
989,25815
990,26130
991,25628
992,26164
993,25795
994,26181
995,25375
996,25889
997,26298
998,25237
999,25935
1000,25747
1001,25848
1002,25656
1003,25369
1004,25928
1005,25929
1006,26095
1007,25899
1008,25332
1009,25880
1010,26015
1011,25842
1012,25265
1013,25681
1014,25806
1015,25508
1016,25685
1017,30731
1018,31674
1019,25994
1020,25579
1021,25329
1022,25706
1023,25465
1024,25379
1025,25171
1026,25608
1027,25089
1028,25287
1029,25432
1030,24968
1031,25553
1032,25297
1033,25371
1034,25549
1035,25246
1036,25033
1037,25668
1038,25315
1039,25426
1040,25228
1041,25390
1042,24981
1043,25008
1044,25266
1045,25653
1046,24934
1047,25494
1048,25615
1049,25267
1050,24843
1051,25039
1052,25233
1053,25306
1054,24565
1055,24819
1056,25676
1057,25512
1058,25309
1059,25287
1060,25371
1061,24976
1062,25268
1063,24979
1064,25048
1065,25020
1066,25270
1067,25501
1068,25067
1069,24836
1070,25440
1071,25024
1072,25481
1073,25137
1074,25523
1075,24978
1076,25574
1077,25114
1078,34075
1079,27299
1080,25368
1081,25151
1082,25592
1083,25195
1084,25121
1085,25040
1086,25194
1087,25140
1088,25492
1089,25036
1090,25059
1091,24994
1092,25318
1093,25265
1094,25256
1095,24954
1096,24989
1097,24903
1098,25057
1099,25232
1100,24965
1101,25890
1102,25401
1103,25508
1104,25028
1105,25865
1106,25140
1107,24975
1108,25144
1109,25224
1110,25210
1111,25399
1112,25537
1113,25025
1114,25327
1115,25478
1116,25380
1117,25158
1118,25290
1119,25652
1120,25033
1121,25215
1122,25007
1123,25655
1124,24984
1125,24887
1126,25166
1127,26004
1128,25189
1129,25706
1130,25605
1131,25487
1132,25191
1133,25639
1134,24961
1135,25302
1136,25340
1137,24938
1138,25195
1139,25419
1140,30420
