,mz,scan,intensity
35739,569.311324714,549,439
35740,569.75353603,549,159
35741,569.795120282,549,132
35742,569.817803241,549,176
35863,565.806184644,550,147
35864,566.307333089,550,203
35865,567.302751122,550,325
35866,567.804561757,550,194
35867,567.842300847,550,115
35868,569.299988219,550,135
35869,569.749755719,550,125
36003,565.79865027,551,356
36004,565.825020798,551,290
36005,566.322408659,551,202
36006,567.302751122,551,210
36007,567.804561757,551,218
36008,569.299988219,551,332
36009,569.810242205,551,416
36145,567.306523307,552,309
36146,567.808335609,552,436
36147,568.302818726,552,141
36148,569.296209413,552,411
36149,569.806461705,552,103
36288,565.802417451,553,339
36289,565.828788067,553,121
36290,566.816244471,553,105
36291,567.306523307,553,354
36292,567.808335609,553,490
36293,569.299988219,553,251
36294,569.791339833,553,110
36417,565.80995185,554,194
36418,566.571184533,554,104
36419,567.302751122,554,264
36420,567.785692682,554,114
36421,567.808335609,554,173
36422,568.314145287,554,167
36423,569.296209413,554,202
36424,569.802681219,554,250
36560,565.290196016,555,134
36561,565.31278913,555,326
36562,565.802417451,555,341
36563,566.318639747,555,110
36564,566.797391825,555,151
36565,567.306523307,555,193
36566,567.808335609,555,175
36567,569.296209413,555,252
36568,569.772437775,555,127
36695,565.30902358,556,255
36696,565.335382695,556,186
36697,565.794883102,556,161
36698,565.806184644,556,181
36699,565.825020798,556,227
36700,566.299795379,556,317
36701,566.322408659,556,152
36702,566.348791389,556,103
36703,567.280118278,556,116
36704,567.302751122,556,127
36705,567.627204833,556,104
36706,567.800787917,556,193
36707,567.82720506,556,117
36708,568.325471962,556,150
36709,569.303767038,556,140
36710,569.798900744,556,104
36841,565.31278913,557,487
36842,565.320320268,557,523
36843,565.80995185,557,300
36844,565.828788067,557,194
36845,566.292257719,557,113
36846,566.318639747,557,197
36847,566.635272016,557,118
36848,567.29897895,557,126
36849,567.314067713,557,125
36850,567.804561757,557,205
36851,568.771077357,557,101
36852,569.292430619,557,181
36853,569.787559396,557,116
36854,569.795120282,557,120
36994,565.278899629,558,114
36995,565.31278913,558,699
36996,565.342913983,558,102
36997,565.80995185,558,688
36998,566.311101962,558,325
36999,567.302751122,558,252
37000,569.75353603,558,127
37117,565.256307193,559,109
37118,565.31278913,559,1550
37119,565.813719068,559,868
37120,566.292257719,559,141
37121,566.318639747,559,247
37122,567.29897895,559,126
37123,567.800787917,559,108
37124,568.257513608,559,142
37125,569.009056826,559,154
37126,569.273536838,559,108
37127,569.281094313,559,123
37250,565.260072568,560,107
37251,565.31278913,560,2027
37252,565.757212111,560,100
37253,565.80995185,560,1066
37254,566.311101962,560,487
37255,568.333023141,560,100
37362,565.31278913,561,2428
37363,565.817486299,561,1075
37364,566.318639747,561,667
37365,566.816244471,561,143
37366,567.314067713,561,137
37367,569.795120282,561,113
37463,565.31278913,562,2184
37464,565.813719068,562,1281
37465,566.314870849,562,869
37466,566.341253403,562,100
37467,566.820015038,562,139
37468,567.306523307,562,144
37574,565.260072568,563,106
37575,565.31278913,563,4218
37576,565.813719068,563,1971
37577,566.311101962,563,462
37578,566.329946519,563,390
37579,566.363867511,563,153
37580,566.778539493,563,100
37581,566.812473917,563,153
37582,567.306523307,563,103
37583,567.317839936,563,113
37584,567.325384418,563,111
37683,565.31278913,564,3324
37684,565.550044079,564,142
37685,565.817486299,564,1579
37686,566.322408659,564,480
37687,566.752146755,564,104
37688,566.808703375,564,372
37689,566.827556209,564,154
37690,567.302751122,564,126
37691,567.314067713,564,129
37692,569.768657401,564,125
37798,565.31278913,565,3132
37799,565.813719068,565,1538
37800,565.832555347,565,671
37801,566.318639747,565,719
37802,566.341253403,565,191
37803,566.812473917,565,101
37804,567.310295504,565,244
37805,567.33292895,565,104
37806,567.793240274,565,130
37807,569.30754587,565,100
37924,565.31278913,566,3657
37925,565.486017998,566,130
37926,565.64044001,566,122
37927,565.817486299,566,1906
37928,565.968185814,566,116
37929,566.314870849,566,672
37930,566.820015038,566,218
37931,567.310295504,566,110
37932,568.744638266,566,112
38020,565.31278913,567,3657
38021,565.369273889,567,115
38022,565.553810432,567,115
38023,565.813719068,567,1874
38024,566.311101962,567,552
38025,566.522178904,567,117
38026,566.812473917,567,264
38027,567.781918905,567,101
38149,565.30902358,568,2698
38150,565.813719068,568,1188
38151,566.262107583,568,105
38152,566.314870849,568,565
38153,566.816244471,568,194
38154,567.272574097,568,105
38250,565.30902358,569,2024
38251,565.339148333,569,408
38252,565.779814556,569,152
38253,565.80995185,569,1272
38254,566.032239184,569,122
38255,566.311101962,569,601
38256,566.333715468,569,209
38257,566.820015038,569,160
38258,567.223538143,569,143
38259,568.29904323,569,115
38260,568.684208367,569,104
38379,565.30902358,570,1726
38380,565.629140123,570,194
38381,565.813719068,570,868
38382,566.299795379,570,182
38383,566.314870849,570,236
38384,566.333715468,570,227
38385,566.804932846,570,156
38386,567.314067713,570,217
38488,565.31278913,571,1602
38489,565.817486299,571,804
38490,565.843857266,571,201
38491,566.311101962,571,540
38492,568.835289136,571,146
38602,565.316554693,572,1231
38603,565.813719068,572,1250
38604,565.847624597,572,168
38605,566.314870849,572,443
38606,566.812473917,572,137
38711,565.316554693,573,1334
38712,565.80995185,573,878
38713,565.836322641,573,122
38714,566.322408659,573,248
38715,566.816244471,573,114
38716,567.302751122,573,130
38819,565.31278913,574,1190
38820,565.813719068,574,299
38821,565.825020798,574,450
38822,565.840089947,574,243
38823,566.307333089,574,129
38824,566.322408659,574,108
38825,567.310295504,574,168
38826,568.317920833,574,144
38827,569.587214197,574,113
38926,565.31278913,575,871
38927,565.80995185,575,537
38928,566.326177582,575,125
38929,566.816244471,575,108
38930,567.314067713,575,136
39044,565.30902358,576,675
39045,565.813719068,576,743
39046,566.220652455,576,124
39047,566.311101962,576,124
39147,565.30902358,577,790
39148,565.331617069,577,169
39149,565.80995185,577,287
39150,565.949347277,577,138
39257,565.30902358,578,346
39258,565.806184644,578,243
39259,565.825020798,578,181
39260,568.653994621,578,162
39261,569.625012482,578,151
39363,565.30902358,579,374
39364,565.813719068,579,352
39499,565.31278913,580,234
39500,565.964418081,580,125
39501,566.311101962,580,115
39621,565.305258042,581,348
39622,565.779814556,581,114
39623,565.80995185,581,127
39624,566.265876306,581,139
39625,566.318639747,581,111
39626,568.283941374,581,158
39724,565.31278913,582,157
39725,566.013399581,582,151
39831,565.30902358,583,251
39832,565.821253542,583,109
39833,568.265064335,583,112
39834,568.29904323,583,162
39936,565.31278913,584,142
39937,565.327851456,584,131
39938,565.779814556,584,188
39939,566.024703305,584,325
39940,566.277182551,584,206
39941,566.507100676,584,220
39942,566.541026972,584,148
40045,565.316554693,585,288
40046,565.772280357,585,141
40047,566.017167477,585,217
40048,566.265876306,585,271
40135,565.764746209,586,310
40136,566.017167477,586,191
40137,566.028471238,586,167
40138,566.262107583,586,184
40139,566.280951324,586,126
40140,566.529718094,586,204
40141,569.961472465,586,111
40257,565.734610119,587,111
40258,565.821253542,587,139
40259,566.017167477,587,366
40260,566.269645042,587,150
40261,566.778539493,587,116
40262,567.016101791,587,124
40263,568.302818726,587,139
40386,565.764746209,588,257
40387,565.956882654,588,102
40388,566.017167477,588,323
40389,566.262107583,588,241
40390,567.506467035,588,125
40507,565.768513277,589,270
40508,566.013399581,589,226
40509,566.039775113,589,151
40510,566.280951324,589,172
40511,566.518409328,589,239
40512,566.774769064,589,182
40513,567.223538143,589,111
40606,565.768513277,590,363
40607,565.987024664,590,159
40608,566.017167477,590,153
40609,566.277182551,590,114
40610,567.740408182,590,110
40611,569.761096691,590,145
40703,565.772280357,591,300
40704,565.806184644,591,108
40705,566.009631698,591,273
40706,566.808703375,591,101
40707,568.578463768,591,129
40708,569.250864715,591,156
40799,565.768513277,592,306
40800,566.020935385,592,221
40801,566.269645042,592,169
40802,566.525948493,592,196
40803,567.26125792,592,127
40899,565.621606928,593,100
40900,566.024703305,593,173
40901,566.525948493,593,148
40902,566.993474665,593,113
40903,567.929105513,593,194
40995,565.301492517,594,107
40996,565.719542375,594,113
40997,566.017167477,594,310
40998,566.164125182,594,159
41095,566.009631698,595,314
41096,566.243264155,595,122
41097,566.258338872,595,105
41098,569.957691464,595,108
41205,565.764746209,596,146
41206,566.013399581,596,140
41207,566.514639765,596,141
41293,565.316554693,597,171
41294,565.760979154,597,136
41295,566.017167477,597,299
41296,566.940679795,597,178
41297,567.050043325,597,125
41397,565.768513277,598,111
41398,565.787348804,598,100
41399,566.032239184,598,132
41400,567.600792343,598,168
41493,566.265876306,599,138
41596,566.556105652,600,115
41597,567.608338706,600,103
41598,567.717766609,600,160
